IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
116.36.234.101,30005,443,true,NRT,Asia Pacific,Tokyo,368,1.18
114.201.80.59,30001,443,true,ICN,Asia Pacific,Seoul,151,1.15
14.37.166.2,30012,443,true,ICN,Asia Pacific,Seoul,134,1.14
61.78.168.111,12235,443,true,LAX,North America,Los Angeles,252,1.14
211.62.120.110,22533,443,true,ICN,Asia Pacific,Seoul,183,1.14
39.122.89.195,20201,443,true,NRT,Asia Pacific,Tokyo,331,1.13
119.200.72.19,28443,443,true,LAX,North America,Los Angeles,269,1.12
118.41.13.65,50003,443,true,ICN,Asia Pacific,Seoul,137,1.11
61.227.151.127,10000,443,true,SJC,North America,San Jose,230,1.08
220.87.251.17,20201,443,true,ICN,Asia Pacific,Seoul,167,1.08
183.97.180.5,10002,443,true,LAX,North America,Los Angeles,311,1.05
220.135.37.112,81,443,true,TPE,Asia Pacific,Taipei,93,1.04
119.201.52.177,20332,443,true,LAX,North America,Los Angeles,319,1.04
121.188.209.168,10002,443,true,LAX,North America,Los Angeles,486,1.02
175.196.101.16,20201,443,true,LAX,North America,Los Angeles,476,1.02
107.172.132.165,43333,443,true,YYZ,North America,Toronto,291,1.00
218.50.152.204,32768,443,true,KIX,Asia Pacific,Osaka,315,0.98
220.121.70.46,10443,443,true,LAX,North America,Los Angeles,332,0.95
